price,location,bedroom,bathroom,garage,floorSize,propertyType
4250000.0,Cape Town City Centre,2.0,1.5,1.0,109.0,Apartment
13650000.0,Constantia,3.0,3.0,2.0,781.0,House
1900000.0,Plumstead,3.0,2.0,2.0,184.0,Townhouse
10850000.0,Mouille Point,2.0,2.0,2.0,177.0,Apartment
1950000.0,Sea Point,0.5,1.0,1.0,52.0,Apartment
3450000.0,Bergvliet,3.0,2.0,2.0,612.0,House
2899000.0,Sea Point,1.0,1.0,,71.0,Apartment
19500000.0,Cape Town City Centre,3.0,3.5,2.0,211.0,Apartment
2800000.0,Wynberg Upper,3.0,3.0,4.0,712.0,House
12950000.0,Fresnaye,4.0,3.5,2.0,688.0,House
2450000.0,Green Point,2.0,1.0,,90.0,Apartment
1725000.0,Woodstock,3.0,1.0,,129.0,House
1690000.0,Sea Point,1.0,1.0,,60.0,Apartment
14890000.0,Camps Bay,4.0,4.5,2.0,507.0,Townhouse
12750000.0,Constantia,3.0,3.0,2.0,448.0,House
3400000.0,Green Point,1.0,1.0,1.0,61.0,Apartment
2450000.0,Diep River,3.0,2.5,3.0,703.0,House
5800000.0,Sea Point,3.0,2.0,2.0,139.0,Apartment
1150000.0,Claremont Upper,0.5,1.0,1.0,33.0,Apartment
13595000.0,Constantia,3.0,3.0,2.0,814.0,House
1925000.0,Plumstead,3.0,2.0,2.0,284.0,House
35000000.0,Mouille Point,3.0,4.0,3.0,449.0,Apartment
3495000.0,Claremont,4.0,2.0,,516.0,House
3795000.0,Claremont,3.0,2.0,,443.0,House
11900000.0,Oranjezicht,4.0,5.0,2.0,501.0,House
1295000.0,Rondebosch,1.0,1.0,1.0,46.0,Apartment
2100000.0,Mouille Point,1.0,1.0,1.0,32.0,Apartment
4250000.0,Sea Point,2.0,2.0,2.0,178.0,House
2350000.0,Gardens,1.0,1.0,1.0,67.0,Apartment
1375000.0,Muizenberg,3.0,2.0,1.0,201.0,House
7995000.0,Green Point,3.0,3.0,2.0,193.0,Apartment
1395000.0,Claremont,2.0,1.0,2.0,82.0,Apartment
2495000.0,Woodstock,3.0,2.0,,187.0,House
